program,mode,approx_type,N,dist,K,seed,tempo,cycles,instructions,cache_references,cache_misses,checksum,error_abs_mean,error_rel_mean,rmse,error_max
conv_malloc_approx,approx,float,512,0,7,12353,0.010508,61296401,123765379,598808,141897,128015.936850,0.000000037453,0.000000074590,0.000000048078,0.000000250714
conv_malloc_approx,approx,skip_kernel,512,0,7,12353,0.004458,37389215,75342896,486225,108493,128015.929037,0.047178877114,0.095390483465,0.059645430454,0.281318225748
conv_linear,exact,none,512,0,7,12354,0.010100,60003309,128792367,425970,109405,128161.104645,0,0,0,0
conv_malloc,exact,none,512,0,7,12354,0.009437,56366590,109344975,450815,112427,128161.104645,0,0,0,0
conv_linear_approx,approx,float,512,0,7,12354,0.011207,64257263,148772935,422496,131350,128161.104923,0.000000037217,0.000000074241,0.000000047523,0.000000251515
conv_linear_approx,approx,skip_kernel,512,0,7,12354,0.004910,40232717,88482126,351482,107557,128166.576088,0.054749786363,0.110478948205,0.069177010738,0.313419837944
conv_malloc_approx,approx,float,512,0,7,12354,0.010484,61331227,123749883,584853,136933,128161.104923,0.000000037217,0.000000074241,0.000000047523,0.000000251515
conv_malloc_approx,approx,skip_kernel,512,0,7,12354,0.004390,37084079,75295853,487685,109714,128166.576088,0.054749786363,0.110478948205,0.069177010738,0.313419837944
conv_linear,exact,none,512,0,7,12355,0.010159,60057400,128765164,432051,112658,127999.742830,0,0,0,0
conv_malloc,exact,none,512,0,7,12355,0.009396,56478252,109339885,466317,114794,127999.742830,0,0,0,0
conv_linear_approx,approx,float,512,0,7,12355,0.011201,64121242,148710260,405627,129673,127999.743281,0.000000039735,0.000000079250,0.000000050828,0.000000262934
conv_linear_approx,approx,skip_kernel,512,0,7,12355,0.004912,39803341,88491223,356416,108282,128000.752857,0.056973238069,0.114996526175,0.071932962924,0.319726245712
conv_malloc_approx,approx,float,512,0,7,12355,0.010476,61285434,123883779,593193,138581,127999.743281,0.000000039735,0.000000079250,0.000000050828,0.000000262934
conv_malloc_approx,approx,skip_kernel,512,0,7,12355,0.004385,37104875,75395932,484870,107952,128000.752857,0.056973238069,0.114996526175,0.071932962924,0.319726245712
conv_linear,exact,none,512,1,3,12346,0.003125,62433331,123966916,357638,111219,-651.556333,0,0,0,0
